"Section,Question,A,B,C,D,Correct"
"B,What is the normal retirement age in the Nigerian Public Service?,55 years,60 years,65 years,70 years,B"
"B,What does PSR stand for?,Public Service Regulation,Public Service Rules,Personnel Service Rules,Public Staff Regulations,B"
"B,Who appoints Permanent Secretaries?,President,Head of Service,Governor,Minister,B"
"B,When should an officer resume duty after leave?,At will,As scheduled,Within one month,Immediately after leave ends,D"
"B,An officer who overstays leave without permission is said to have?,Absconded,Resigned,Retired,Transferred,A"
"B,The Public Service is under which arm of government?,Legislature,Judiciary,Executive,Private,C"
"B,What is the purpose of the Public Service Rules?,To punish workers,To guide conduct and discipline,To promote politics,To reduce pay,B"
"B,What document contains duties of civil servants?,Civil Service Handbook,Public Service Rules,Code of Conduct,Staff Manual,B"
"B,Which body handles staff discipline?,FCSC,Head of Service,President,Minister,A"
"B,What does “Interdiction” mean in the PSR?,Temporary suspension pending investigation,Retirement,Demotion,Promotion,A"
"B,Which leave is granted for health reasons?,Annual leave,Study leave,Sick leave,Compassionate leave,C"
"B,How many months of maternity leave are granted?,2 months,3 months,4 months,6 months,C"
"B,Promotion in the Public Service is based mainly on?,Seniority,Performance and vacancies,Connection,Training,B"
"B,The normal working hours are?,6 hours,7 hours,8 hours,10 hours,C"
"B,Leave of absence may be granted for?,Personal business,Study or health,Political campaign,Travel,B"
"B,When may a civil servant be suspended?,When found guilty,During investigation,On vacation,After resignation,B"
"B,Who signs letters of appointment?,Permanent Secretary,President,Director,Supervisor,A"
"B,Retirement benefits include?,Bonus,Gratuity and Pension,Commission,Allowance,B"
"B,What must an officer do before traveling abroad?,Take annual leave,Seek approval,Buy ticket,Inform friends,B"
"B,What is the PSR’s stance on punctuality?,Optional,Mandatory,Not important,Only for seniors,B"
"B,Which form is used for leave application?,PSR Form 1,Leave Form 3,Annual Leave Form 1,Official Letter,B"
"B,How many days make a working week?,5,6,7,4,A"
"B,Who maintains discipline in Ministries?,Permanent Secretary,Director,Head of Service,Minister,A"
"B,What is the full meaning of FCSC?,Federal Civil Service Commission,Federal Civil Service Council,Foreign Civil Staff Commission,Financial Civil Service Commission,A"
"B,What should be done to improve performance?,Reward laziness,Encourage training,Ignore feedback,Delay promotion,B"
"B,Which rule regulates official correspondence?,PSR Chapter 9,PSR Chapter 3,PSR Chapter 7,PSR Chapter 5,B"
"B,Transfer means?,Promotion,Change of duty station,Retirement,Suspension,B"
"B,The PSR applies to?,Private workers,Public officers only,All Nigerian citizens,NGOs,B"
"B,Disciplinary action begins with?,Dismissal,Warning,Query,Suspension,C"
"B,Resignation requires?,Verbal notice,Written notice,No notice,Minister’s approval,B"
"B,Who prepares annual performance evaluation reports?,Clerk,Immediate Supervisor,Director,Colleague,B"
"B,The PSR promotes?,Indiscipline,Accountability,Corruption,Nepotism,B"
"B,Which value is NOT expected of civil servants?,Honesty,Impartiality,Corruption,Integrity,C"
